product_id,brand,price,category,rating,image_url,product_url
B0BVYZN4HK,Liberty Records,38.89,New season,4.0,https://m.media-amazon.com/images/I/51cw5piS2iL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BVYZN4HK
B088WYKGLK,New Balance 550,309.0,New season,4.5,https://m.media-amazon.com/images/I/71jFMMjGM4L._AC_UL320_.jpg,https://www.amazon.ae/dp/B088WYKGLK
B0CN34XB97,Herschel,229.0,New season,4.6,https://m.media-amazon.com/images/I/8117kgWePuL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CN34XB97
B0DPY1JQMV,guess,269.9,New season,5.0,https://m.media-amazon.com/images/I/61lj5lFYhQL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DPY1JQMV
B0DB8QW7ZF,Kipling,254.68,New season,4.8,https://m.media-amazon.com/images/I/51TIWlhXWqL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DB8QW7ZF
B09N3N5C18,Adidas AG,140.0,New season,4.2,https://m.media-amazon.com/images/I/41shxhOIe6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N3N5C18
B0BTWT5M89,New Balance 550,332.96,New season,4.4,https://m.media-amazon.com/images/I/51bWAdaQJOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BTWT5M89
B0BYNS6T4M,SAFRISIOR,57.36,New season,4.0,https://m.media-amazon.com/images/I/51flTDKVfSL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BYNS6T4M
B00X0W9WW2,Tommy Hilfiger,150.0,New season,4.6,https://m.media-amazon.com/images/I/71ILaZjbthL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00X0W9WW
B0DRMH6G5P,TOMMY JEANS,452.21,New season,5.0,https://m.media-amazon.com/images/I/81e1Ez-BG1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DRMH6G5P
B0BZZKHQDF,Nike by You,153.0,New season,5.0,https://m.media-amazon.com/images/I/51+i3Ms3pyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BZZKHQDF
B0C6HM1TT2,Nike by You,129.0,New season,4.4,https://m.media-amazon.com/images/I/411WI9zR5YL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C6HM1TT
B095X7633P,Under Armour,109.0,New season,4.6,https://m.media-amazon.com/images/I/71zyYYyFG0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B095X7633P
B0CVB8H7YY,PUMA,27.0,New season,4.2,https://m.media-amazon.com/images/I/61xbDE4Of0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CVB8H7YY
B00Z83DJVG,Under Armour,49.0,New season,4.5,https://m.media-amazon.com/images/I/71FatfuxkXL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00Z83DJVG
B09WR2XBT7,Adidas AG,50.0,New season,3.8,https://m.media-amazon.com/images/I/91gUbOcAnML._AC_UL320_.jpg,https://www.amazon.ae/dp/B09WR2XBT7
B099S9FJ52,Shining Diva Fashion,29.7,New season,4.1,https://m.media-amazon.com/images/I/513MF4mXUcL._AC_UL320_.jpg,https://www.amazon.ae/dp/B099S9FJ
B07MRD15FF,BULLCAPTAIN,82.0,New season,4.5,https://m.media-amazon.com/images/I/71EVO-W-MdL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07MRD15FF
B09D3D64H1,YANEK,26.99,New season,4.0,https://m.media-amazon.com/images/I/51rGLz7d66L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09D3D64H
B08TQV254S,K-CHEONY,37.99,New season,4.3,https://m.media-amazon.com/images/I/71QwRfOVUjL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08TQV254S
B0C4PJ3R1M,Nike by You,289.8,New season,4.5,https://m.media-amazon.com/images/I/710wWRkdZ8L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C4PJ3R1M
B0C4PJ3R1M,Nike by You,289.8,New season,4.5,https://m.media-amazon.com/images/I/710wWRkdZ8L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C4PJ3R1M
B0BMZCZTYK,TCCO ENTERPRISE,25.0,New season,4.2,https://m.media-amazon.com/images/I/71vb1+-y+vL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BMZCZTYK
B0CNPMBYDT,HORISUN,50.0,New season,4.2,https://m.media-amazon.com/images/I/61VuAxI+pHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CNPMBYDT
B083HKWZ95,Nike by You,60.0,New season,4.6,https://m.media-amazon.com/images/I/81eRuQ2PXaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B083HKWZ9
B07W6YJ9CB,Nike by You,67.0,New season,4.4,https://m.media-amazon.com/images/I/41C49csZSRL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07W6YJ9CB
B01KTPNBQA,Liberty Records,40.0,New season,3.8,https://m.media-amazon.com/images/I/51zMDs++MeL._AC_UL320_.jpg,https://www.amazon.ae/dp/B01KTPNBQA
B0B2WYQ1CJ,Adidas AG,113.4,New season,4.5,https://m.media-amazon.com/images/I/61iXPyo4COL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B2WYQ1CJ
B0B51SRX4B,Nike by You,129.0,New season,4.7,https://m.media-amazon.com/images/I/81qRlLlnqDL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B51SRX4B
B07B8QLPMX,Skechers,106.29,New season,4.0,https://m.media-amazon.com/images/I/81noVHABOzL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07B8QLPMX
B0CLV4GVTN,South African Bureau of State Security,110.0,New season,4.7,https://m.media-amazon.com/images/I/61l1tDV-i8L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CLV4GVTN
